# 요괴 데이터 파일
# 형식: 이름,타입,공격력,방어력,체력,스피드,도감설명,기술1;기술2;기술3;기술4;기술5;기술6;...

# 일반 요괴
무수대망,EVIL_SPIRIT,130,115,140,105,수많은 원혼을 거느린 혼의 군단장,영혼착취;사념의박치기;새벽의속삭임;폭음파;지옥기운;지옥불;지옥폭뢰;혼돈의폭발
어둑시니,EVIL_SPIRIT,125,95,120,130,어둠의 기운을 머금고 사람의 정신을 잡아먹는다,망령의눈빛;사념의박치기;어둠손길;새벽의속삭임;독꽃던지기;돌가루;속임수;환영술

# 패러독스 요괴
장산범,ANIMAL,135,110,130,125,부산의 장산에 사는 비단같은 털을 가진 호랑이로 환각을 일으켜 사람들을 홀린다,물기;할퀴기;망각의노래;환영술;호랑이눈빛;호랑이발톱;백호의울음
홍콩할매귀신,EVIL_SPIRIT,120,100,125,110,홍콩행 비행기에서 사고나 나 할머니와 고양이가 합쳐진 후 학생들을 살해하기 시작했다,괴성공명;망각의노래;속임수베기;요상한바람;피눈물베기;어둠손길;지옥기운
퉁퉁퉁퉁 사후르,MONSTER,140,130,145,90,사후르를 먹으라고 세 번 불렀는데도 잠에서 깨지 않으면 집으로 오는 괴물이다,몸통박치기;연속박치기;예측공격;후려치기;도깨비방망이;철퇴내리치기;파멸의망치
사이렌헤드,MONSTER,145,115,135,105,음파를 활용해 사람을 잡아먹는 머리에 사이렌이 달린 사람 모습의 흉측한 거대 괴물,예측공격;후려치기;괴성공명;폭음파;망각의노래;혼령메아리
슬렌더맨,EVIL_SPIRIT,125,100,120,130,이목구비가 없는 키가 큰 인간의 모습으로 촉수와 환영으로 사람들의 정신줄을 놓게 한다,괴성;안개;검은연기;염력;달빛무도;속임수베기;환영분열;환영술;영혼흡수;지옥기운
Entity,MONSTER,130,120,130,110,백룸 안에 서식하는 정체불명의 무언가로 이들의 소리가 나면 죽기만을 기다려야 한다,괴성;그림자발바닥;안개;속임수;검은연기;괴성공명;폭음파;속임수베기;이단도약;천지개벽

두억시니,HUMAN,120,110,130,105,머리를 짓누르는 귀신이라는 뜻을 가진 요괴로 도깨비 집단의 우두머리라고도 묘사된다,소리지르기;복화술;돌던지기;진흙던지기;부채베기;호미찌르기;후려치기도
